country,1990,1995,2000,2005,2010,2015,,%_difference
australia,17.43,17.29,17.16,17.01,16.86,17.32,17.42,-0.00999999999999801
bolivia,53.36,52.11,50.86,49.93,49,48.02,46.92,-6.44
brazil,70.46,69.2,65.93,63.57,61.21,60.29,59.14,-11.32
canada,38.84,38.82,38.79,38.77,38.74,38.72,38.7,-0.140000000000001
china,16.74,17.8,18.85,20.11,21.37,22.4,23.43,6.69
costa_rica,56.94,56.45,55.96,56.09,56.23,57.83,59.43,2.49
finland,71.82,72.76,73.69,73.35,73.19,73.74,73.73,1.91000000000001
india,21.5,22.12,22.73,23.05,23.37,23.82,24.27,2.77
indonesia,65.43,60.67,53.94,53.51,53.08,50.61,49.07,-16.36
malaysia,62.76,61.34,59.93,58.8,57.67,59.24,58.17,-4.59
rwanda,12.85,12.24,11.63,11.18,10.74,10.94,11.18,-1.67
sweden,68.89,69.01,69.14,69.02,68.92,68.69,68.7,-0.189999999999998
uk,11.48,11.84,12.21,12.43,12.64,13.04,13.19,1.71
usa,33.02,33.08,33.13,33.41,33.75,33.9,33.87,0.849999999999994
vietnam,28.81,32.5,37.88,40.23,42.73,44.87,46.72,17.91
