country,continent,gdp_per_capita,gini
slovakia,europe,24491,24.1
slovenia,europe,32610,24.3
belarus,europe,7829,24.4
netherlands,europe,64572,25.7
iceland,europe,79637,26.1
czech_rep,europe,31591,26.2
belgium,europe,54701,26.6
finland,europe,52296,27.7
norway,europe,87925,27.7
denmark,europe,68454,28.3
sweden,europe,55517,29.8
france,europe,44691,31.5
uk,europe,49464,32.4
germany,europe,54343,32.4
bhutan,asia,3711,28.5
pakistan,asia,1365,29.6
nepal,asia,1378,30
mongolia,asia,5839,31.4
india,asia,2481,32.8
japan,asia,33767,32.9
korea,asia,33121,32.9
thailand,asia,7182,34.9
china,asia,12614,35.7
vietnam,asia,4282,36.1
laos,asia,2067,38.8
philippines,asia,3805,40.7
indonesia,asia,4876,36.1
kazakhstan,asia,12919,29.2
uzbekistan,asia,2850,31.2
benin,africa,7460,34.4
ethiopia,africa,1272,35
nigeria,africa,1597,35.1
senegal,africa,1706,36.2
chad,africa,681,37.4
malawi,africa,602,38.5
tanzania,africa,1225,40.5
cameroon,africa,1737,42.2
ghana,africa,2260,43.5
rwanda,africa,1010,43.7
zimbabwe,africa,2156,50.3
angola,africa,2308,51.3
botswana,africa,7820,53.3
namibia,africa,4168,59.1
south_africa,africa,6023,63
colomnia,south_america,6947,54.8
brazil,south_america,10295,52
venezuala,south_america,15944,44.7
chile,south_america,17068,43
bolivia,south_america,3686,40.9
argentina,south_america,14188,40.7
uruguay,south_america,22798,40.6
peru,south_america,7907,40.3
ecuador,south_america,6610,44.6
guyana,south_america,20765,45
suriname,south_america,5494,39.2
usa,north_america,82769,41.3
panama,north_america,18686,48.9
nicaragua,north_america,2613,46.2
mexico,north_america,13790,43.5
jamaica,north_america,6840,40.2
honduras,north_america,3247,48.2
haiti,north_america,1706,41.1
guatemala,north_america,5763,48.3
grenada,north_america,11246,43.8
canada,north_america,53431,31.7
belize,north_america,7460,53.2
